sample_id,step,topk_rank,chunk_id,importance
local_01,0,1,0,0.4754514992237091
local_01,0,2,13,0.3872342109680176
local_01,0,3,12,0.02610686793923378
local_01,1,1,0,0.5051876306533813
local_01,1,2,13,0.3673133850097656
local_01,1,3,12,0.025739647448062897
local_01,2,1,0,0.485105961561203
local_01,2,2,13,0.3365733027458191
local_01,2,3,14,0.045131243765354156
local_01,3,1,0,0.4717209041118622
local_01,3,2,13,0.3151543140411377
local_01,3,3,14,0.07650787383317947
local_01,4,1,0,0.4803050458431244
local_01,4,2,13,0.26439881324768066
local_01,4,3,14,0.09544995427131653
local_01,5,1,0,0.4892817735671997
local_01,5,2,13,0.22998830676078796
local_01,5,3,14,0.10571929812431335
local_01,6,1,0,0.5239481329917908
local_01,6,2,13,0.1654721051454544
local_01,6,3,14,0.1357155591249466
local_01,7,1,0,0.48381417989730835
local_01,7,2,14,0.1825334131717682
local_01,7,3,13,0.18080425262451172
local_01,8,1,0,0.5015820264816284
local_01,8,2,13,0.19471918046474457
local_01,8,3,14,0.16448897123336792
local_01,9,1,0,0.6436511278152466
local_01,9,2,13,0.12131457030773163
local_01,9,3,14,0.1130506694316864
local_01,10,1,0,0.4823944568634033
local_01,10,2,14,0.18581457436084747
local_01,10,3,13,0.17385858297348022
local_01,11,1,0,0.5094807744026184
local_01,11,2,14,0.171616792678833
local_01,11,3,13,0.157195046544075
local_01,12,1,0,0.47933125495910645
local_01,12,2,14,0.19650229811668396
local_01,12,3,13,0.16769061982631683
local_01,13,1,0,0.4690292179584503
local_01,13,2,13,0.25190770626068115
local_01,13,3,14,0.1490611881017685
local_01,14,1,0,0.7092132568359375
local_01,14,2,13,0.11292681097984314
local_01,14,3,14,0.06764230132102966
local_02,0,1,0,0.48079025745391846
local_02,0,2,13,0.3821863830089569
local_02,0,3,12,0.02750052511692047
local_02,1,1,0,0.5076620578765869
local_02,1,2,13,0.36360466480255127
local_02,1,3,12,0.026375630870461464
local_02,2,1,0,0.48875412344932556
local_02,2,2,13,0.3780418932437897
local_02,2,3,12,0.025575237348675728
local_02,3,1,0,0.4745838940143585
local_02,3,2,13,0.3967209458351135
local_02,3,3,12,0.02679935283958912
local_02,4,1,0,0.48735281825065613
local_02,4,2,13,0.3238399922847748
local_02,4,3,14,0.04678141325712204
local_02,5,1,0,0.5060738921165466
local_02,5,2,13,0.26689016819000244
local_02,5,3,14,0.08221446722745895
local_02,6,1,0,0.5218069553375244
local_02,6,2,13,0.22275324165821075
local_02,6,3,14,0.10945367813110352
local_02,7,1,0,0.5129488110542297
local_02,7,2,13,0.2010701298713684
local_02,7,3,14,0.13667358458042145
local_02,8,1,0,0.5209304690361023
local_02,8,2,13,0.1841556429862976
local_02,8,3,14,0.160005584359169
local_02,9,1,0,0.5108287930488586
local_02,9,2,14,0.17774638533592224
local_02,9,3,13,0.177363783121109
local_02,10,1,0,0.5275359153747559
local_02,10,2,14,0.16589955985546112
local_02,10,3,13,0.16469760239124298
local_02,11,1,0,0.5884117484092712
local_02,11,2,14,0.1411662995815277
local_02,11,3,13,0.13778167963027954
local_02,12,1,0,0.4978463649749756
local_02,12,2,14,0.1983003169298172
local_02,12,3,13,0.1643286496400833
local_02,13,1,0,0.464580774307251
local_02,13,2,14,0.21041010320186615
local_02,13,3,13,0.19831666350364685
local_02,14,1,0,0.4741480350494385
local_02,14,2,13,0.28050053119659424
local_02,14,3,14,0.11613966524600983
local_02,15,1,0,0.7119494676589966
local_02,15,2,13,0.11292046308517456
local_02,15,3,14,0.06432957947254181
local_03,0,1,0,0.4775241017341614
local_03,0,2,13,0.3909860849380493
local_03,0,3,12,0.02518054097890854
local_03,1,1,0,0.5064996480941772
local_03,1,2,13,0.3663066029548645
local_03,1,3,12,0.024625083431601524
local_03,2,1,0,0.4832034707069397
local_03,2,2,13,0.3849153220653534
local_03,2,3,12,0.02376677095890045
local_03,3,1,0,0.4625251591205597
local_03,3,2,13,0.41180145740509033
local_03,3,3,12,0.024754654616117477
local_03,4,1,0,0.4780047833919525
local_03,4,2,13,0.3363373279571533
local_03,4,3,14,0.04293807968497276
local_03,5,1,0,0.4890765845775604
local_03,5,2,13,0.2598012089729309
local_03,5,3,14,0.08448851108551025
local_03,6,1,0,0.535120964050293
local_03,6,2,13,0.1866988241672516
local_03,6,3,14,0.11098513007164001
local_03,7,1,0,0.5153589844703674
local_03,7,2,13,0.1823776513338089
local_03,7,3,14,0.15532459318637848
local_03,8,1,0,0.5787405371665955
local_03,8,2,13,0.1549527645111084
local_03,8,3,14,0.13011491298675537
local_03,9,1,0,0.5139269232749939
local_03,9,2,13,0.17230182886123657
local_03,9,3,14,0.1575789749622345
local_03,10,1,0,0.4761578142642975
local_03,10,2,13,0.19681912660598755
local_03,10,3,14,0.19035257399082184
local_03,11,1,0,0.48998740315437317
local_03,11,2,13,0.22732339799404144
local_03,11,3,14,0.16172125935554504
local_03,12,1,0,0.474912166595459
local_03,12,2,13,0.28697139024734497
local_03,12,3,14,0.11240381002426147
local_03,13,1,0,0.708499014377594
local_03,13,2,13,0.1197931244969368
local_03,13,3,14,0.06322877109050751
local_04,0,1,0,0.4677518308162689
local_04,0,2,13,0.3653164207935333
local_04,0,3,12,0.055231403559446335
local_04,1,1,0,0.49757638573646545
local_04,1,2,13,0.352707177400589
local_04,1,3,12,0.044461630284786224
local_04,2,1,0,0.47391098737716675
local_04,2,2,13,0.35802197456359863
local_04,2,3,12,0.05852452665567398
local_04,3,1,0,0.4610259532928467
local_04,3,2,13,0.35182327032089233
local_04,3,3,12,0.08062787353992462
local_04,4,1,0,0.4748840928077698
local_04,4,2,13,0.28928327560424805
local_04,4,3,12,0.11702755093574524
local_04,5,1,0,0.5228230953216553
local_04,5,2,13,0.23977285623550415
local_04,5,3,12,0.12483571469783783
local_04,6,1,0,0.5144557356834412
local_04,6,2,13,0.2376558631658554
local_04,6,3,12,0.12970301508903503
local_04,7,1,0,0.5937724113464355
local_04,7,2,13,0.19996505975723267
local_04,7,3,12,0.09614592790603638
local_04,8,1,0,0.5988032817840576
local_04,8,2,13,0.19611114263534546
local_04,8,3,12,0.09096840023994446
local_04,9,1,0,0.5765414834022522
local_04,9,2,13,0.23572640120983124
local_04,9,3,12,0.08894594758749008
local_04,10,1,0,0.4714911878108978
local_04,10,2,13,0.3095219135284424
local_04,10,3,12,0.11409279704093933
local_04,11,1,0,0.4800894260406494
local_04,11,2,13,0.31021207571029663
local_04,11,3,12,0.1038937121629715
local_04,12,1,0,0.5068698525428772
local_04,12,2,13,0.27827659249305725
local_04,12,3,12,0.1048378124833107
local_04,13,1,0,0.518385112285614
local_04,13,2,13,0.2907470762729645
local_04,13,3,12,0.08134002983570099
local_04,14,1,0,0.511883556842804
local_04,14,2,13,0.3354067802429199
local_04,14,3,12,0.05840834602713585
local_04,15,1,0,0.4734331965446472
local_04,15,2,13,0.36239901185035706
local_04,15,3,12,0.061191774904727936
local_05,0,1,0,0.4818756580352783
local_05,0,2,13,0.3810163736343384
local_05,0,3,12,0.025504086166620255
local_05,1,1,0,0.5097382068634033
local_05,1,2,13,0.36070188879966736
local_05,1,3,12,0.024973874911665916
local_05,2,1,0,0.49027618765830994
local_05,2,2,13,0.37432581186294556
local_05,2,3,12,0.024549178779125214
local_05,3,1,0,0.47537726163864136
local_05,3,2,13,0.3880319893360138
local_05,3,3,12,0.02561863139271736
local_05,4,1,0,0.4914611577987671
local_05,4,2,13,0.3008529245853424
local_05,4,3,14,0.045033048838377
local_05,5,1,0,0.5085249543190002
local_05,5,2,13,0.23701760172843933
local_05,5,3,14,0.08365868031978607
local_05,6,1,0,0.5503826141357422
local_05,6,2,13,0.17789269983768463
local_05,6,3,14,0.10221485793590546
local_05,7,1,0,0.6209015250205994
local_05,7,2,13,0.13581296801567078
local_05,7,3,14,0.11300031840801239
local_05,8,1,0,0.48647886514663696
local_05,8,2,13,0.19668707251548767
local_05,8,3,14,0.16549381613731384
local_05,9,1,0,0.492740273475647
local_05,9,2,13,0.2075435072183609
local_05,9,3,14,0.16575655341148376
local_05,10,1,0,0.47350916266441345
local_05,10,2,13,0.21315798163414001
local_05,10,3,14,0.16457422077655792
local_05,11,1,0,0.5067782402038574
local_05,11,2,13,0.1973990648984909
local_05,11,3,14,0.1565856635570526
local_05,12,1,0,0.5603458285331726
local_05,12,2,13,0.16345806419849396
local_05,12,3,14,0.13843771815299988
local_05,13,1,0,0.5099716782569885
local_05,13,2,14,0.1773757040500641
local_05,13,3,13,0.17415392398834229
local_05,14,1,0,0.47007259726524353
local_05,14,2,14,0.19594764709472656
local_05,14,3,13,0.19131767749786377
local_05,15,1,0,0.4691934287548065
local_05,15,2,13,0.2723603844642639
local_05,15,3,14,0.12477999925613403
local_06,0,1,0,0.47737470269203186
local_06,0,2,13,0.3923816382884979
local_06,0,3,12,0.02772817574441433
local_06,1,1,0,0.5078948736190796
local_06,1,2,13,0.3678179681301117
local_06,1,3,12,0.02512039989233017
local_06,2,1,0,0.4793264865875244
local_06,2,2,13,0.3906978368759155
local_06,2,3,12,0.026233281940221786
local_06,3,1,0,0.46615079045295715
local_06,3,2,13,0.4078015387058258
local_06,3,3,12,0.02986220084130764
local_06,4,1,0,0.4793896973133087
local_06,4,2,13,0.3823744058609009
local_06,4,3,12,0.029445914551615715
local_06,5,1,0,0.4991360604763031
local_06,5,2,13,0.3556941747665405
local_06,5,3,12,0.030763791874051094
local_06,6,1,0,0.6454818248748779
local_06,6,2,13,0.1909012347459793
local_06,6,3,14,0.034471239894628525
local_06,7,1,0,0.5577040314674377
local_06,7,2,13,0.23083606362342834
local_06,7,3,14,0.07689892500638962
local_06,8,1,0,0.5014829635620117
local_06,8,2,13,0.28119349479675293
local_06,8,3,14,0.08957330882549286
local_06,9,1,0,0.5138140320777893
local_06,9,2,13,0.26878058910369873
local_06,9,3,14,0.09460783004760742
local_06,10,1,0,0.49815329909324646
local_06,10,2,13,0.23530837893486023
local_06,10,3,14,0.12617821991443634
local_06,11,1,0,0.5523176789283752
local_06,11,2,13,0.17854151129722595
local_06,11,3,14,0.12419715523719788
local_06,12,1,0,0.4683501422405243
local_06,12,2,13,0.23539982736110687
local_06,12,3,14,0.15829259157180786
local_06,13,1,0,0.4669819176197052
local_06,13,2,13,0.31707847118377686
local_06,13,3,14,0.09478655457496643
local_06,14,1,0,0.7007122039794922
local_06,14,2,13,0.12995271384716034
local_06,14,3,14,0.060154225677251816
local_07,0,1,0,0.4795178771018982
local_07,0,2,13,0.3893417716026306
local_07,0,3,12,0.02632155455648899
local_07,1,1,0,0.5131875276565552
local_07,1,2,13,0.3645867109298706
local_07,1,3,12,0.02365173026919365
local_07,2,1,0,0.4913351237773895
local_07,2,2,13,0.3788873255252838
local_07,2,3,12,0.022977927699685097
local_07,3,1,0,0.4759301245212555
local_07,3,2,13,0.3622397780418396
local_07,3,3,14,0.03970891609787941
local_07,4,1,0,0.47947338223457336
local_07,4,2,13,0.3049814701080322
local_07,4,3,14,0.07301809638738632
local_07,5,1,0,0.48954495787620544
local_07,5,2,13,0.26242735981941223
local_07,5,3,14,0.09904813021421432
local_07,6,1,0,0.5560054779052734
local_07,6,2,13,0.1924719214439392
local_07,6,3,14,0.1059662252664566
local_07,7,1,0,0.49726149439811707
local_07,7,2,13,0.20022061467170715
local_07,7,3,14,0.1588933765888214
local_07,8,1,0,0.48819881677627563
local_07,8,2,13,0.21365204453468323
local_07,8,3,14,0.15726378560066223
local_07,9,1,0,0.5249360799789429
local_07,9,2,13,0.17508676648139954
local_07,9,3,14,0.15144260227680206
local_07,10,1,0,0.45929476618766785
local_07,10,2,14,0.20445269346237183
local_07,10,3,13,0.20052486658096313
local_07,11,1,0,0.532197892665863
local_07,11,2,13,0.1903860867023468
local_07,11,3,14,0.15994763374328613
local_07,12,1,0,0.49289894104003906
local_07,12,2,14,0.207750141620636
local_07,12,3,13,0.1781633198261261
local_07,13,1,0,0.5190759897232056
local_07,13,2,14,0.19381223618984222
local_07,13,3,13,0.16389155387878418
local_07,14,1,0,0.5494524836540222
local_07,14,2,14,0.1689293533563614
local_07,14,3,13,0.14774736762046814
local_07,15,1,0,0.4723728597164154
local_07,15,2,14,0.22150146961212158
local_07,15,3,13,0.16598016023635864
