subtype,sink_mass_mean,recent_mass_mean,cold_mass_mean,cold_mass_min,cold_mass_max
local,0.49770231944283627,0.37310445065202275,0.129193221383235,0.099306084215641,0.1791059523820877
early_recall,0.5170473499235764,0.3176212555247973,0.1653313880749777,0.1011412814259529,0.2004351317882537
middle_recall,0.47461879090087056,0.3430208072882809,0.18236040109640927,0.1029555946588516,0.2405609637498855
comparison,0.48661433905363083,0.35571564304140896,0.1576700201258063,0.1052778214216232,0.2059075832366943
