sample_id,allocated_bytes_after_cleanup,reserved_bytes_after_cleanup,peak_allocated_bytes,peak_reserved_bytes
local_01,13485351936,13499367424,14191712768,14294188032
early_recall_01,13485351936,13499367424,14173936128,14264827904
middle_recall_01,13485351936,13499367424,14165009920,14296285184
comparison_01,13485351936,13499367424,14203897856,14258536448
