subtype,sink_mass_mean,recent_mass_mean,cold_mass_mean,cold_mass_min,cold_mass_max
local,0.6099951203912497,0.2796068106777966,0.1103980721905827,0.0774198919534683,0.1625906825065612
early_recall,0.6042328801006078,0.23401390584185716,0.16175321480259294,0.0967851430177688,0.2433612495660781
middle_recall,0.627212006598711,0.23001280073076483,0.14277519048191603,0.0841475576162338,0.2004852890968322
comparison,0.5853254314512014,0.24989017704501743,0.16478440449573095,0.1050826087594032,0.2059767395257949
