sample_id,step,hot_set_overlap,churn_rate,spearman_rank_corr
local_01,0,nan,nan,nan
local_01,1,1.0,0.0,0.9860139860139862
local_01,2,1.0,0.0,0.9930069930069931
local_01,3,1.0,0.0,0.9930069930069931
local_01,4,1.0,0.0,1.0
local_01,5,1.0,0.0,0.9930069930069931
local_01,6,1.0,0.0,0.9860139860139862
local_01,7,1.0,0.0,0.9930069930069931
local_01,8,1.0,0.0,0.9230769230769231
local_01,9,1.0,0.0,0.9300699300699302
local_01,10,1.0,0.0,0.9930069930069931
local_01,11,1.0,0.0,0.9930069930069931
local_01,12,1.0,0.0,1.0
local_01,13,1.0,0.0,0.9930069930069931
local_01,14,1.0,0.0,0.9860139860139862
local_01,15,1.0,0.0,0.9860139860139862
local_02,0,nan,nan,nan
local_02,1,1.0,0.0,0.9930069930069931
local_02,2,1.0,0.0,0.9860139860139862
local_02,3,1.0,0.0,0.9580419580419581
local_02,4,1.0,0.0,0.9930069930069931
local_02,5,1.0,0.0,0.9860139860139862
local_02,6,1.0,0.0,0.9930069930069931
local_02,7,1.0,0.0,0.9790209790209792
local_02,8,1.0,0.0,0.9860139860139862
local_02,9,1.0,0.0,0.9370629370629372
local_02,10,1.0,0.0,0.9090909090909092
local_02,11,1.0,0.0,0.8881118881118882
local_02,12,1.0,0.0,0.9860139860139862
local_02,13,1.0,0.0,0.9790209790209792
local_02,14,1.0,0.0,0.9230769230769231
local_02,15,1.0,0.0,0.9860139860139862
local_03,0,nan,nan,nan
local_03,1,1.0,0.0,0.9930069930069931
local_03,2,1.0,0.0,0.9790209790209792
local_03,3,1.0,0.0,0.9720279720279721
local_03,4,1.0,0.0,1.0
local_03,5,1.0,0.0,1.0
local_03,6,1.0,0.0,0.9930069930069931
local_03,7,1.0,0.0,0.9930069930069931
local_03,8,1.0,0.0,0.9300699300699302
local_03,9,1.0,0.0,0.9370629370629372
local_03,10,1.0,0.0,1.0
local_03,11,1.0,0.0,0.9930069930069931
local_03,12,1.0,0.0,0.9930069930069931
local_03,13,1.0,0.0,1.0
local_03,14,1.0,0.0,1.0
local_03,15,1.0,0.0,0.9930069930069931
local_04,0,nan,nan,nan
local_04,1,0.5,0.5,0.9363636363636365
local_04,2,0.5,0.5,0.9727272727272729
local_04,3,1.0,0.0,0.9727272727272729
local_04,4,0.5,0.5,0.6503496503496504
local_04,5,1.0,0.0,0.9860139860139862
local_04,6,1.0,0.0,0.9860139860139862
local_04,7,1.0,0.0,0.9860139860139862
local_04,8,1.0,0.0,0.9370629370629372
local_04,9,1.0,0.0,0.9300699300699302
local_04,10,1.0,0.0,0.9720279720279721
local_04,11,1.0,0.0,0.9440559440559443
local_04,12,1.0,0.0,0.9580419580419581
local_04,13,1.0,0.0,0.9790209790209792
local_04,14,1.0,0.0,0.9930069930069931
local_04,15,1.0,0.0,0.9860139860139862
local_05,0,nan,nan,nan
local_05,1,1.0,0.0,0.9790209790209792
local_05,2,1.0,0.0,0.9720279720279721
local_05,3,1.0,0.0,0.9510489510489512
local_05,4,1.0,0.0,0.9860139860139862
local_05,5,1.0,0.0,0.9930069930069931
local_05,6,1.0,0.0,0.9860139860139862
local_05,7,1.0,0.0,0.9930069930069931
local_05,8,1.0,0.0,0.9230769230769231
local_05,9,1.0,0.0,0.9440559440559443
local_05,10,1.0,0.0,0.9790209790209792
local_05,11,1.0,0.0,0.9230769230769231
local_05,12,1.0,0.0,0.9510489510489512
local_05,13,1.0,0.0,0.9720279720279721
local_05,14,1.0,0.0,0.9930069930069931
local_05,15,1.0,0.0,0.9790209790209792
local_06,0,nan,nan,nan
local_06,1,1.0,0.0,0.9720279720279721
local_06,2,1.0,0.0,0.9510489510489512
local_06,3,1.0,0.0,0.9510489510489512
local_06,4,1.0,0.0,0.9720279720279721
