subtype,sink_mass_mean,recent_mass_mean,cold_mass_mean,cold_mass_min,cold_mass_max
local,0.291814764868468,0.5668978434056043,0.14128739009611305,0.0717015117406845,0.2208247631788253
early_recall,0.29878718350082634,0.4821225667372346,0.2190902401693165,0.1669189184904098,0.2666204571723938
middle_recall,0.2784193957224488,0.5419967450201512,0.17958386605605478,0.0896702706813812,0.2215503901243209
comparison,0.27951769940555093,0.5450251812115312,0.17545711263082917,0.0826838463544845,0.2926822602748871
