sample_id,step,sink_mass,recent_mass,cold_mass
local_01,0,0.2299945205450058,0.6021262407302856,0.16787919402122498
local_01,1,0.2851226329803467,0.5637027025222778,0.1511746644973755
local_01,2,0.2980366349220276,0.5701879262924194,0.1317754089832306
local_01,3,0.28325212001800537,0.5859301090240479,0.1308177411556244
local_01,4,0.26741576194763184,0.5632103085517883,0.16937384009361267
local_01,5,0.27316814661026,0.5347709655761719,0.19206088781356812
local_01,6,0.3380635976791382,0.5326828360557556,0.12925364077091217
local_01,7,0.3019154369831085,0.5439811944961548,0.1541033834218979
local_01,8,0.43028953671455383,0.48000282049179077,0.08970776945352554
local_01,9,0.27541878819465637,0.5847256183624268,0.13985557854175568
local_01,10,0.2751488983631134,0.570521891117096,0.15432925522327423
local_01,11,0.2815477252006531,0.5778214931488037,0.1406307816505432
local_01,12,0.2700731158256531,0.6051461100578308,0.1247807964682579
local_01,13,0.26493531465530396,0.597816526889801,0.13724809885025024
local_01,14,0.25939586758613586,0.591179370880127,0.14942479133605957
local_01,15,0.2982618808746338,0.5865759253501892,0.11516233533620834
local_02,0,0.23143722116947174,0.599254310131073,0.16930851340293884
local_02,1,0.2878111004829407,0.5652181506156921,0.14697065949440002
local_02,2,0.2953847646713257,0.573177695274353,0.13143761456012726
local_02,3,0.28402113914489746,0.5831590294837952,0.1328197568655014
local_02,4,0.2593977749347687,0.579808235168457,0.1607939600944519
local_02,5,0.26551881432533264,0.5660374164581299,0.1684437096118927
local_02,6,0.2804512083530426,0.49872398376464844,0.22082476317882538
local_02,7,0.31129464507102966,0.47995126247406006,0.20875415205955505
local_02,8,0.329693078994751,0.48931679129600525,0.1809900999069214
local_02,9,0.27531898021698,0.6027861833572388,0.12189474701881409
local_02,10,0.44355615973472595,0.4844248592853546,0.07201898097991943
local_02,11,0.24554230272769928,0.6355994343757629,0.1188582107424736
local_02,12,0.2643049657344818,0.6179147958755493,0.11778029799461365
local_02,13,0.29995599389076233,0.6005855798721313,0.09945850074291229
local_02,14,0.31865307688713074,0.5674554705619812,0.11389139294624329
local_02,15,0.2893810570240021,0.5681368112564087,0.14248207211494446
local_03,0,0.23171423375606537,0.5998653769493103,0.16842040419578552
local_03,1,0.29124537110328674,0.5623162984848022,0.1464383900165558
local_03,2,0.30046066641807556,0.5686880350112915,0.13085125386714935
local_03,3,0.2833757698535919,0.5826616287231445,0.13396264612674713
local_03,4,0.27188751101493835,0.563212513923645,0.1649000346660614
local_03,5,0.2782360315322876,0.5312263369560242,0.190537691116333
local_03,6,0.33868998289108276,0.5313849449157715,0.12992510199546814
local_03,7,0.3102286159992218,0.5394399166107178,0.1503312885761261
local_03,8,0.42924946546554565,0.4794011414051056,0.09134937077760696
local_03,9,0.27754729986190796,0.5829794406890869,0.13947319984436035
local_03,10,0.2787681221961975,0.5679501891136169,0.15328165888786316
local_03,11,0.286420613527298,0.5724943280220032,0.14108511805534363
local_03,12,0.2747015953063965,0.5983338356018066,0.1269645094871521
local_03,13,0.2687971889972687,0.5971095561981201,0.13409315049648285
local_03,14,0.26363787055015564,0.589614748954773,0.14674736559391022
local_03,15,0.299560546875,0.5856518149375916,0.11478761583566666
local_04,0,0.23736543953418732,0.5867401361465454,0.17589451372623444
local_04,1,0.2904956340789795,0.5568344593048096,0.15266989171504974
local_04,2,0.3054012954235077,0.5607218146324158,0.13387687504291534
local_04,3,0.28865042328834534,0.5748236179351807,0.13652612268924713
local_04,4,0.27926599979400635,0.5491374731063843,0.17159655690193176
local_04,5,0.2833167314529419,0.5197784304618835,0.19690483808517456
local_04,6,0.34223899245262146,0.5259193778038025,0.13184159994125366
local_04,7,0.3153984248638153,0.5272344350814819,0.1573670655488968
local_04,8,0.43394577503204346,0.47468462586402893,0.09136950224637985
local_04,9,0.2854967415332794,0.572220504283905,0.14228278398513794
local_04,10,0.2806958556175232,0.5610496997833252,0.158254474401474
local_04,11,0.28718993067741394,0.5688613653182983,0.1439487487077713
local_04,12,0.275369793176651,0.5958777666091919,0.1287524402141571
local_04,13,0.2765618860721588,0.5893359184265137,0.1341022104024887
local_04,14,0.26660773158073425,0.5864524841308594,0.14693976938724518
local_04,15,0.3028322756290436,0.5834691524505615,0.1136985719203949
local_05,0,0.2331715077161789,0.603345513343811,0.16348305344581604
local_05,1,0.2913202941417694,0.5614745616912842,0.1472051739692688
local_05,2,0.30985844135284424,0.5603272914886475,0.1298142820596695
local_05,3,0.2794201374053955,0.5885161757469177,0.1320636123418808
local_05,4,0.27478545904159546,0.5597289800643921,0.16548562049865723
local_05,5,0.2810598611831665,0.5296416282653809,0.18929843604564667
local_05,6,0.3462481200695038,0.5282800197601318,0.12547188997268677
local_05,7,0.3137345016002655,0.540664792060852,0.14560075104236603
local_05,8,0.4285289943218231,0.4813762605190277,0.09009485691785812
local_05,9,0.2861943542957306,0.5818005800247192,0.132004976272583
local_05,10,0.2803691327571869,0.5690690279006958,0.15056182444095612
local_05,11,0.2949090898036957,0.5665262937545776,0.13856461644172668
local_05,12,0.27209633588790894,0.6033166646957397,0.12458683550357819
local_05,13,0.2758069634437561,0.5945625901222229,0.12963049113750458
local_05,14,0.2655356228351593,0.5879555940628052,0.14650878310203552
local_05,15,0.30482831597328186,0.5838011503219604,0.11137053370475769
local_06,0,0.2336171269416809,0.6006746888160706,0.16570818424224854
local_06,1,0.2915271818637848,0.5647062063217163,0.14376679062843323
