sample_id,step,hot_set_overlap,churn_rate,spearman_rank_corr
comparison_05,0,nan,nan,nan
comparison_05,1,1.0,0.0,0.9571428571428571
comparison_05,2,1.0,0.0,0.9535714285714283
comparison_05,3,1.0,0.0,1.0
comparison_06,0,nan,nan,nan
comparison_06,1,1.0,0.0,0.9285714285714284
comparison_06,2,1.0,0.0,0.95
comparison_06,3,1.0,0.0,0.9678571428571429
comparison_07,0,nan,nan,nan
comparison_07,1,1.0,0.0,0.932142857142857
comparison_07,2,1.0,0.0,0.9714285714285713
comparison_07,3,1.0,0.0,0.9535714285714283
comparison_08,0,nan,nan,nan
comparison_08,1,1.0,0.0,0.95
comparison_08,2,1.0,0.0,0.9714285714285713
comparison_08,3,1.0,0.0,0.9857142857142854
comparison_09,0,nan,nan,nan
comparison_09,1,1.0,0.0,0.9035714285714285
comparison_09,2,1.0,0.0,0.9642857142857141
comparison_09,3,1.0,0.0,0.9749999999999999
comparison_10,0,nan,nan,nan
comparison_10,1,1.0,0.0,0.9857142857142854
comparison_10,2,1.0,0.0,0.9607142857142855
comparison_10,3,1.0,0.0,0.9642857142857141
