subtype,sink_mass_mean,recent_mass_mean,cold_mass_mean,cold_mass_min,cold_mass_max
local,0.20574548291042444,0.5726800408214331,0.22157447272911662,0.1699213832616806,0.3111120462417602
early_recall,0.24332961533218617,0.5001207986846566,0.2565495820716023,0.1844942718744278,0.2966316342353821
middle_recall,0.21144071565940972,0.5257777394726872,0.2627815466374158,0.183402732014656,0.3232564032077789
comparison,0.21556950816884632,0.5409227553755045,0.24350773384794588,0.1854312419891357,0.2906129956245422
