subtype,hot_set_overlap_mean,hot_set_overlap_min,hot_set_overlap_max,churn_rate_mean,churn_rate_max
local,0.9966666666666667,0.5,1.0,0.0033333333333333335,0.5
early_recall,0.9933333333333333,0.5,1.0,0.006666666666666667,0.5
middle_recall,0.98,0.5,1.0,0.02,0.5
comparison,1.0,1.0,1.0,0.0,0.0
