sample_id,step,sink_mass,recent_mass,cold_mass
local_01,0,0.2299945205450058,0.6021262407302856,0.16787919402122498
local_01,1,0.2851226329803467,0.5637027025222778,0.1511746644973755
local_01,2,0.2980366349220276,0.5701879262924194,0.1317754089832306
local_01,3,0.28325212001800537,0.5859301090240479,0.1308177411556244
early_recall_01,0,0.2510164678096771,0.5616584420204163,0.18732503056526184
early_recall_01,1,0.2757275402545929,0.5156262516975403,0.20864614844322205
early_recall_01,2,0.31187063455581665,0.5175970196723938,0.17053227126598358
early_recall_01,3,0.26790541410446167,0.49803805351257324,0.2340564727783203
middle_recall_01,0,0.2322777360677719,0.5858701467514038,0.18185216188430786
middle_recall_01,1,0.27010247111320496,0.5257459878921509,0.20415157079696655
middle_recall_01,2,0.2982519567012787,0.5494548082351685,0.15229324996471405
middle_recall_01,3,0.30356064438819885,0.5271235704421997,0.1693158745765686
comparison_01,0,0.24537502229213715,0.5861335396766663,0.1684914082288742
comparison_01,1,0.2785007655620575,0.5198989510536194,0.20160029828548431
comparison_01,2,0.3060291111469269,0.5097126960754395,0.18425819277763367
comparison_01,3,0.2906803786754608,0.5413484573364258,0.16797105967998505
